district,state,population,area_km2
Mumbai City,Maharashtra,3085411,67.79
Mumbai Suburban,Maharashtra,9332481,446.00
Thane,Maharashtra,11060148,9558.00
Pune,Maharashtra,9429408,15642.00
Nagpur,Maharashtra,4653570,9892.00
Nashik,Maharashtra,6107187,15582.00
Aurangabad,Maharashtra,3695928,10100.00
Solapur,Maharashtra,4317756,14895.00
Kolhapur,Maharashtra,3876001,7685.00
Satara,Maharashtra,3003741,10480.00
Ahmednagar,Maharashtra,4543159,17048.00
Dhule,Maharashtra,2050862,8063.00
Jalgaon,Maharashtra,4229917,11765.00
Nanded,Maharashtra,3361292,10528.00
Parbhani,Maharashtra,1835982,6511.00
Beed,Maharashtra,2585962,10693.00
Osmanabad,Maharashtra,1657576,7569.00
Latur,Maharashtra,2454196,7157.00
Amravati,Maharashtra,2887826,12235.00
Akola,Maharashtra,1818617,5431.00
Yavatmal,Maharashtra,2772348,13582.00
Buldhana,Maharashtra,2588039,9661.00
Washim,Maharashtra,1197160,5153.00
Wardha,Maharashtra,1300774,6309.00
Bhandara,Maharashtra,1200334,3717.00
Chandrapur,Maharashtra,2194262,11443.00
Gadchiroli,Maharashtra,1071795,14412.00
Gondia,Maharashtra,1322507,5234.00
Raigad,Maharashtra,2634200,7152.00
Ratnagiri,Maharashtra,1615069,8208.00
Sindhudurg,Maharashtra,848868,5207.00
Sangli,Maharashtra,2820575,8578.00
Hingoli,Maharashtra,1177345,4526.00
Jalna,Maharashtra,1959046,7718.00
Central Delhi,Delhi,582320,10.87
East Delhi,Delhi,1709346,64.00
New Delhi,Delhi,142004,35.43
North Delhi,Delhi,884689,60.00
North East Delhi,Delhi,2241924,60.00
North West Delhi,Delhi,3657729,440.00
Outer Delhi,Delhi,2374160,396.00
South Delhi,Delhi,2731929,250.00
South West Delhi,Delhi,2292958,420.00
West Delhi,Delhi,2543243,129.00
Shahdara,Delhi,1729000,56.00
South East Delhi,Delhi,1700000,102.00
Bangalore Urban,Karnataka,9621551,2196.00
Bangalore Rural,Karnataka,990923,2259.00
Mysore,Karnataka,3001127,6854.00
Belgaum,Karnataka,4779661,13415.00
Dakshina Kannada,Karnataka,2089649,4560.00
Tumkur,Karnataka,2681449,10597.00
Kolar,Karnataka,1540231,3969.00
Shimoga,Karnataka,1755512,8477.00
Udupi,Karnataka,1177361,3880.00
Hassan,Karnataka,1776421,6826.00
Bellary,Karnataka,2532383,8447.00
Gulbarga,Karnataka,2566326,16224.00
Bidar,Karnataka,1700018,5448.00
Raichur,Karnataka,1924773,8442.00
Bijapur,Karnataka,2177331,10541.00
Dharwad,Karnataka,1847024,4265.00
Uttara Kannada,Karnataka,1437169,10291.00
Chickmagalur,Karnataka,1137574,7201.00
Kodagu,Karnataka,554762,4102.00
Mandya,Karnataka,1895731,4961.00
Chitradurga,Karnataka,1660378,8440.00
Chikkaballapur,Karnataka,1254434,4204.00
Chennai,Tamil Nadu,7088000,426.00
Coimbatore,Tamil Nadu,3458045,7469.00
Madurai,Tamil Nadu,3038252,3741.00
Tiruvallur,Tamil Nadu,3728104,3422.00
Kancheepuram,Tamil Nadu,3998252,4432.00
Cuddalore,Tamil Nadu,2605914,3678.00
Salem,Tamil Nadu,3482642,5245.00
Erode,Tamil Nadu,2251744,5714.00
Tirupur,Tamil Nadu,2479052,5186.00
Tiruchirappalli,Tamil Nadu,2722290,4404.00
Thanjavur,Tamil Nadu,2402781,3396.00
Dindigul,Tamil Nadu,2159775,6266.00
Vellore,Tamil Nadu,3936331,6077.00
Tirunelveli,Tamil Nadu,3072880,6823.00
Thoothukudi,Tamil Nadu,1750176,4621.00
Lucknow,Uttar Pradesh,4589838,2528.00
Kanpur Nagar,Uttar Pradesh,4581268,3155.00
Agra,Uttar Pradesh,4418797,4027.00
Varanasi,Uttar Pradesh,3676841,1535.00
Allahabad,Uttar Pradesh,5954391,5482.00
Meerut,Uttar Pradesh,3447405,2522.00
Ghaziabad,Uttar Pradesh,4661452,1179.00
Mathura,Uttar Pradesh,2547184,3339.00
Aligarh,Uttar Pradesh,3673849,3650.00
Bareilly,Uttar Pradesh,4448359,4120.00
Moradabad,Uttar Pradesh,4772006,3713.00
